ShownStudentReaders,2022-05-04T13:27:05.989889400
ShownAdultReaders,2022-05-04T13:27:21.938388500
ShownStudentReaders,2022-05-04T13:27:35.148920500
ShownEmployees,2022-05-04T13:27:45.584759400
AddedBook,2022-05-04T13:28:04.086538500
ShownBooks,2022-05-04T13:30:57.369177400
AddedEvent,2022-05-04T13:31:46.589661900
ShownEvents,2022-05-04T13:33:39.818961200
AddedAdultReader,2022-05-04T13:33:54.774715400
ShownAdultReaders,2022-05-04T13:35:05.852154600
ShownStudentReaders,2022-05-04T13:35:05.853151300
AddedStudentReader,2022-05-04T13:35:39.366403400
ShownAdultReaders,2022-05-04T13:36:45.608868400
ShownStudentReaders,2022-05-04T13:36:57.969300500
